int_dis,health_acc_score,health2_acc_score,health2_Monday_score,health2_compete1.5_score,health2_compete2_score,c_healthinfluence,sd_healthinfluence,bus_delay_healthinfluence_2,bus_delay_healthinfluence_1.5,health_acc_score_std,health2_acc_score_std,health2_Monday_score_std,health2_compete1.5_score_std,health2_compete2_score_std,c_healthinfluence_std,sd_healthinfluence_std,bus_delay_healthinfluence_2_std,bus_delay_healthinfluence_1.5_std,food_acc_score,food2_acc_score,food2_Monday_score,food2_compete1.5_score,food2_compete2_score,c_foodinfluence,sd_foodinfluence,bus_delay_foodinfluence_2,bus_delay_foodinfluence_1.5,food_acc_score_std,food2_acc_score_std,food2_Monday_score_std,food2_compete1.5_score_std,food2_compete2_score_std,c_foodinfluence_std,sd_foodinfluence_std,bus_delay_foodinfluence_2_std,bus_delay_foodinfluence_1.5_std,grocery_acc_score,grocery2_acc_score,grocery2_Monday_score,grocery2_compete1.5_score,grocery2_compete2_score,c_groceryinfluence,sd_groceryinfluence,bus_delay_groceryinfluence_2,bus_delay_groceryinfluence_1.5,grocery_acc_score_std,grocery2_acc_score_std,grocery2_Monday_score_std,grocery2_compete1.5_score_std,grocery2_compete2_score_std,c_groceryinfluence_std,sd_groceryinfluence_std,bus_delay_groceryinfluence_2_std,bus_delay_groceryinfluence_1.5_std,city
10,6.743961353,6.956521739,6.90821256,6.652173913,6.685990338,0.212560386,-0.048309179,-0.222222222,-0.256038647,2.366257493,2.420190853,2.549753499,2.575987436,2.566200557,0.5514647,1.032286811,0.781390899,0.810818691,6.048309179,6.275362319,6.536231884,6.473429952,6.502415459,0.22705314,0.260869565,-0.033816425,-0.062801932,1.915086893,2.00158232,2.372453424,2.569050167,2.555926667,0.442458393,1.127573741,1.039891903,1.084273223,6.202898551,6.516908213,6.990338164,7.009661836,7,0.314009662,0.473429952,0.009661836,0.019323671,1.999366721,2.09216154,2.344152688,2.525578542,2.53901594,0.57702523,0.811339133,1.299702498,1.321816023,Baltimore
20,3.777777778,4.111111111,5.411111111,6.233333333,6.222222222,0.333333333,1.3,0.811111111,0.822222222,1.556268786,1.904721776,2.66856206,3.046641179,3.060358273,0.519290787,1.487400266,0.993172699,0.989583703,3.2,3.244444444,4.1,5.566666667,5.477777778,0.044444444,0.855555556,1.377777778,1.466666667,1.040743036,1.073805698,2.044724646,2.89924438,2.907672059,0.332207838,1.473062324,1.241399878,1.273762894,3.155555556,3.266666667,3.777777778,4.977777778,4.944444444,0.111111111,0.511111111,1.166666667,1.2,0.898326923,1.05787576,1.519741091,2.317388,2.304666059,0.349781455,0.767960153,1.256444064,1.282553632,Baltimore
30,2.216216216,2.364864865,3.891891892,4.945945946,4.891891892,0.148648649,1.527027027,1,1.054054054,0.968974465,1.211523713,2.902844932,3.096139407,3.11675792,0.394566953,1.866965694,0.906596828,0.919974566,2.013513514,2.094594595,3.5,4.756756757,4.675675676,0.081081081,1.405405405,1.175675676,1.256756757,0.692291079,0.813733471,2.736110628,3.170112183,3.162745938,0.320819019,2.138485695,1.114759119,1.171122992,1.986486486,2.013513514,2.783783784,4.256756757,4.22972973,0.027027027,0.77027027,1.445945946,1.472972973,0.711803483,0.730795087,1.445543651,2.49416201,2.463694171,0.232495277,0.884374205,1.172071014,1.196146472,Baltimore
40,1.027777778,1,1.333333333,1.555555556,1.555555556,-0.027777778,0.333333333,0.222222222,0.222222222,0.291411453,0.239045722,0.585540044,0.87650098,0.87650098,0.166666667,0.478091444,0.48468612,0.48468612,1.083333333,1.083333333,1.472222222,2,1.972222222,0,0.388888889,0.5,0.527777778,0.368394199,0.368394199,0.736249613,1.511857892,1.403793048,0,0.687761494,0.774596669,0.844684594,1.111111111,1.111111111,1.361111111,1.861111111,1.833333333,0,0.25,0.472222222,0.5,0.398409536,0.398409536,0.682548911,1.174801571,1.133893419,0,0.603560862,0.608797931,0.6094494,Baltimore
50,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,Baltimore
0,8.246875,8.23125,7.496875,7.19375,7.29375,-0.015625,-0.734375,-0.203125,-0.303125,1.819001823,1.828790563,2.285292265,2.404272255,2.363772753,0.216279998,0.800512914,0.506375884,0.52402133,8.46875,8.41875,7.703125,7.30625,7.43125,-0.05,-0.715625,-0.271875,-0.396875,1.761382597,1.789806998,2.303600069,2.533776531,2.457467348,0.257793872,0.887251886,0.535120398,0.614854967,8.434375,8.353125,7.653125,7.35625,7.478125,-0.08125,-0.7,-0.175,-0.296875,1.792199989,1.840928683,2.331800652,2.473297838,2.424953139,0.353608802,0.836472666,0.482288172,0.533506984,Boston
10,6.943589744,6.948717949,7.169230769,7.441025641,7.38974359,0.005128205,0.220512821,0.220512821,0.271794872,1.729637777,1.754944678,2.343465784,2.277265265,2.268542708,0.23806427,0.972609278,0.534953263,0.500488791,6.641025641,6.712820513,6.774358974,7.097435897,7.092307692,0.071794872,0.061538462,0.317948718,0.323076923,1.42306442,1.474732107,2.215307331,2.157638932,2.125372571,0.29597708,1.091819484,0.52899038,0.530736475,6.682051282,6.805128205,7.066666667,7.358974359,7.302564103,0.123076923,0.261538462,0.235897436,0.292307692,1.447157148,1.507019438,2.161201142,2.067011133,2.027070302,0.400039649,1.019555033,0.542753185,0.48873106,Boston
20,4.674242424,4.636363636,4.651515152,4.848484848,4.803030303,-0.037878788,0.015151515,0.151515152,0.196969697,0.992307913,1.050428682,1.675985974,1.843017972,1.81360168,0.312715343,0.800618544,0.714995847,0.658930361,4.590909091,4.560606061,4.083333333,4.303030303,4.25,-0.03030303,-0.477272727,0.166666667,0.21969697,0.93248863,0.967072988,1.451725305,1.662057007,1.636300986,0.274609895,0.735842552,0.722238533,0.668990283,4.606060606,4.651515152,4.386363636,4.5,4.446969697,0.045454545,-0.265151515,0.060606061,0.113636364,0.93087479,0.940885148,1.449652379,1.545740268,1.509837431,0.367862328,0.818300683,0.779092992,0.695105322,Boston
30,3.407643312,3.382165605,3.535031847,3.649681529,3.617834395,-0.025477707,0.152866242,0.082802548,0.114649682,1.061900896,1.129641603,1.879472998,2.012353648,1.975928966,0.319234754,0.961873206,0.518402173,0.530700467,3.305732484,3.292993631,3.299363057,3.49044586,3.426751592,-0.012738854,0.006369427,0.127388535,0.191082803,1.05406673,1.105122957,1.875841583,2.132224775,2.066843939,0.252862108,1.022169734,0.606863676,0.589803944,3.343949045,3.312101911,3.23566879,3.350318471,3.261146497,-0.031847134,-0.076433121,0.025477707,0.114649682,1.078421067,1.055228151,1.679973013,1.775424261,1.706497751,0.286901711,0.873699776,0.65973037,0.59880386,Boston
40,2.697368421,2.697368421,2.960526316,3.065789474,2.960526316,0,0.263157895,0,0.105263158,0.938363637,1.095685318,1.928320786,1.941377699,1.879296248,0.4,1.075402821,0.565685425,0.505409336,2.763157895,2.789473684,3.381578947,3.486842105,3.302631579,0.026315789,0.592105263,-0.078947368,0.105263158,1.093842415,1.181138315,2.274303441,2.352266544,2.215218495,0.325522522,1.338433229,0.560075183,0.478301087,2.710526316,2.697368421,3.118421053,2.934210526,2.789473684,-0.013157895,0.421052632,-0.328947368,-0.184210526,1.05597714,1.071070951,1.959367961,1.934497532,1.783747288,0.305217782,1.157735236,0.661073025,0.558820814,Boston
50,1.770833333,1.770833333,2.3125,2.229166667,2.1875,0,0.541666667,-0.125,-0.083333333,0.555038175,0.750590784,1.370762329,1.324717286,1.248935717,0.505291153,0.849488791,0.672404387,0.498223795,1.875,1.833333333,2.729166667,2.645833333,2.583333333,-0.041666667,0.895833333,-0.145833333,-0.083333333,0.732962511,0.780979563,1.783369788,1.76839371,1.673743839,0.288675135,1.241817188,0.824868354,0.794484533,1.833333333,1.770833333,2.395833333,2.270833333,2.25,-0.0625,0.625,-0.145833333,-0.125,0.694456265,0.750590784,1.697803128,1.659781879,1.604514906,0.380718805,1.196181869,0.771557787,0.788885559,Boston
60,1.133333333,1.333333333,2.166666667,2.366666667,2.366666667,0.2,0.833333333,0.2,0.2,0.434172485,0.546672274,1.533158411,1.58621939,1.58621939,0.406838102,1.14721051,0.406838102,0.406838102,1.3,1.3,2.733333333,3.033333333,2.933333333,0,1.433333333,0.2,0.3,0.534983081,0.534983081,2.132399221,2.326508904,2.116166562,0.371390676,1.75545128,0.406838102,0.4660916,1.333333333,1.266666667,2.6,2.866666667,2.9,-0.066666667,1.333333333,0.3,0.266666667,0.546672274,0.52083046,2.044336162,2.270247341,2.27959464,0.365148372,1.647010528,0.534983081,0.449776445,Boston
70,1,1.2,2.8,2.933333333,2.866666667,0.2,1.6,0.066666667,0.133333333,0,0.414039336,2.366431913,2.491891613,2.325838303,0.414039336,1.992844342,0.25819889,0.351865775,1,1.2,3.4,3.666666667,3.6,0.2,2.2,0.2,0.266666667,0,0.414039336,2.848558533,2.870208222,2.772312083,0.414039336,2.484236014,0.414039336,0.457737708,1,1.2,3,3.466666667,3.6,0.2,1.8,0.6,0.466666667,0,0.414039336,2.672612419,3.090692633,2.99523431,0.414039336,2.305273458,0.507092553,0.516397779,Boston
80,1,1.285714286,4.428571429,4.285714286,4.285714286,0.285714286,3.142857143,-0.142857143,-0.142857143,0,0.468807231,2.563479778,2.757606862,2.554891882,0.468807231,2.178819118,0.770328887,0.770328887,1,1.357142857,6.214285714,5.857142857,5.785714286,0.357142857,4.857142857,-0.428571429,-0.357142857,0,0.497245158,2.913590738,3.059842702,3.067912631,0.497245158,2.537628901,0.851630627,0.744946344,1,1.285714286,5.142857143,5.785714286,5.714285714,0.285714286,3.857142857,0.571428571,0.642857143,0,0.468807231,2.507132682,2.694112425,2.584824691,0.468807231,2.143223412,0.513552591,0.497245158,Boston
90,1,1,3.181818182,2.272727273,2.272727273,0,2.181818182,-0.909090909,-0.909090909,0,0,1.721521526,0.786245393,0.786245393,0,1.721521526,1.044465936,1.044465936,1,1,4.363636364,3.545454545,3.545454545,0,3.363636364,-0.818181818,-0.818181818,0,0,2.248231628,1.507556723,1.507556723,0,2.248231628,1.167748416,1.167748416,1,1,3.636363636,3.363636364,3.545454545,0,2.636363636,-0.090909091,-0.272727273,0,0,1.80403588,1.501514387,1.507556723,0,1.80403588,0.53935989,0.467099366,Boston
100,1,1,1.6,1.6,1.6,0,0.6,0,0,0,0,0.547722558,0.547722558,0.547722558,0,0.547722558,0,0,1,1,3,3.4,3.4,0,2,0.4,0.4,0,0,1.224744871,1.516575089,1.516575089,0,1.224744871,0.547722558,0.547722558,1,1,2.6,3.2,3.4,0,1.6,0.8,0.6,0,0,1.140175425,0.836660027,0.894427191,0,1.140175425,0.447213595,0.547722558,Boston
0,7.903981265,7.859484778,6.468384075,5.042154567,5.081967213,-0.044496487,-1.391100703,-1.386416862,-1.426229508,1.911825831,1.948617595,2.258174085,1.869724954,1.88403918,0.217511355,0.708244843,0.704181371,0.699473695,8.302107728,8.220140515,7.182669789,5.454332553,5.49882904,-0.081967213,-1.037470726,-1.683840749,-1.728337237,1.722556855,1.759819394,2.296022155,2.110703488,2.127811266,0.27463654,0.749648538,0.705974672,0.7161568,8.128805621,7.962529274,6.777517564,5.107728337,5.145199063,-0.166276347,-1.18501171,-1.632318501,-1.669789227,1.798483771,1.866054856,2.360603969,2.034355452,2.056135704,0.372765264,0.738581426,0.670074631,0.682511726,Chicago
10,7.245472837,7.181086519,6.348088531,5.818913481,5.849094567,-0.064386318,-0.832997988,-0.498993964,-0.52917505,2.147791586,2.201402693,2.613079957,2.572223767,2.580823392,0.269181996,0.75018658,0.701739625,0.726551402,7.505030181,7.464788732,6.762575453,6.116700201,6.136820926,-0.040241449,-0.70221328,-0.625754527,-0.645875252,1.890253772,1.944613011,2.552664604,2.692294631,2.697331483,0.288192263,0.85892793,0.765156454,0.772086151,7.55331992,7.507042254,6.762575453,6.018108652,6.040241449,-0.046277666,-0.744466801,-0.722334004,-0.744466801,1.922299647,2.011171096,2.59884586,2.683896505,2.696022747,0.335817532,0.847847469,0.822665432,0.83587322,Chicago
20,6.221428571,6.203571429,6.492857143,6.792857143,6.782142857,-0.017857143,0.289285714,0.289285714,0.3,2.63031093,2.671632761,3.18823201,3.273651581,3.281156537,0.260346573,0.858371921,0.547290023,0.551309942,6,6.035714286,6.375,6.728571429,6.735714286,0.035714286,0.339285714,0.360714286,0.353571429,2.271847337,2.355229716,2.88589761,3.215872055,3.222035943,0.325955211,0.944267475,0.724798469,0.747747942,6.096428571,6.185714286,6.464285714,6.771428571,6.753571429,0.089285714,0.278571429,0.289285714,0.307142857,2.332869715,2.449740574,2.982411317,3.213642195,3.219561864,0.391522427,0.908485345,0.670868097,0.697115702,Chicago
30,4.736486486,4.790540541,5.902027027,6.527027027,6.513513514,0.054054054,1.111486486,0.611486486,0.625,2.537479028,2.600530268,3.237575355,3.66096393,3.654551815,0.280043188,0.904454037,0.777481693,0.788422583,4.361486486,4.429054054,5.347972973,6.280405405,6.256756757,0.067567568,0.918918919,0.908783784,0.932432432,2.200401309,2.291110407,2.830319371,3.563337966,3.54653638,0.352466604,0.879240917,0.939774878,0.954292086,4.418918919,4.527027027,5.432432432,6.391891892,6.368243243,0.108108108,0.905405405,0.935810811,0.959459459,2.253474947,2.35478869,3.040209989,3.573224599,3.566730206,0.379743627,0.944836729,0.822934817,0.834659199,Chicago
40,3.457564576,3.531365314,4.715867159,5.472324723,5.442804428,0.073800738,1.184501845,0.726937269,0.756457565,2.126779858,2.183679697,2.838310512,3.486238786,3.467768772,0.275707744,0.904259279,0.881483089,0.898406407,3.118081181,3.180811808,4.140221402,5.132841328,5.084870849,0.062730627,0.959409594,0.944649446,0.992619926,1.842121766,1.881823605,2.39804827,3.297146753,3.269980162,0.242926443,0.831227351,1.029508588,1.050547018,3.143911439,3.239852399,4.21402214,5.269372694,5.247232472,0.095940959,0.974169742,1.033210332,1.055350554,1.859298408,1.944993187,2.607387451,3.385883436,3.366741157,0.319174485,0.928597485,0.963598785,0.974051755,Chicago
50,2.65470852,2.726457399,3.928251121,4.964125561,4.910313901,0.071748879,1.201793722,0.98206278,1.035874439,1.107738049,1.155312643,1.631409077,2.243823358,2.222130986,0.275517678,0.716344834,0.765024439,0.787609579,2.529147982,2.547085202,3.421524664,4.488789238,4.443946188,0.01793722,0.874439462,1.022421525,1.067264574,1.034452761,1.051073251,1.424332753,2.03319521,2.01910841,0.211475417,0.692574206,0.779489011,0.794097117,2.533632287,2.569506726,3.533632287,4.753363229,4.717488789,0.035874439,0.964125561,1.183856502,1.219730942,1.034316064,1.062617552,1.584692766,2.203023084,2.178107487,0.282468243,0.776086871,0.786891144,0.794783624,Chicago
60,1.929292929,1.95959596,2.858585859,3.535353535,3.494949495,0.03030303,0.898989899,0.636363636,0.676767677,0.883551799,0.924929031,1.39978206,2.011767074,2.001905915,0.172292197,0.801719447,0.788366245,0.793188899,1.868686869,1.909090909,2.494949495,3.242424242,3.232323232,0.04040404,0.585858586,0.737373737,0.747474747,0.840874965,0.870032947,1.072606375,1.767570159,1.766053382,0.197907003,0.622865351,0.898818483,0.896062069,1.848484848,1.878787879,2.595959596,3.494949495,3.484848485,0.03030303,0.717171717,0.888888889,0.898989899,0.825160916,0.848440674,1.362165083,1.902596171,1.897171022,0.265520108,0.795913082,0.754427596,0.762580869,Chicago
70,1.163636364,1.163636364,1.472727273,1.436363636,1.418181818,0,0.309090909,-0.054545455,-0.036363636,0.918203487,0.918203487,0.835653336,1.243704686,1.227628082,0,0.604695432,0.704960777,0.71914652,1.181818182,1.181818182,1.418181818,1.345454545,1.345454545,0,0.236363636,-0.072727273,-0.072727273,0.904534034,0.904534034,0.658024797,1.092367151,1.092367151,0,0.507850822,0.662613944,0.662613944,1.218181818,1.218181818,1.454545455,1.709090909,1.709090909,0,0.236363636,0.254545455,0.254545455,0.916735535,0.916735535,1.085564912,1.651853362,1.651853362,0,0.859880189,0.798567741,0.798567741,Chicago
80,1,1,1.173913043,1.086956522,1.086956522,0,0.173913043,-0.086956522,-0.086956522,0.894427191,0.894427191,0.708812711,0.962083086,0.962083086,0,0.485539692,0.589767825,0.589767825,1,1,1.260869565,1.043478261,1.043478261,0,0.260869565,-0.217391304,-0.217391304,0.869226987,0.869226987,0.612273817,0.893346312,0.893346312,0,0.534780645,0.554298094,0.554298094,0.97826087,0.956521739,1.173913043,1.152173913,1.152173913,-0.02173913,0.217391304,-0.02173913,-0.02173913,0.856066727,0.842127511,0.797338568,0.988093367,0.988093367,0.147441956,0.593035261,0.649414452,0.649414452,Chicago
90,1.4,1.5,1.5,1.6,1.6,0.1,0,0.1,0.1,0.516397779,0.527046277,0.527046277,0.516397779,0.516397779,0.316227766,0,0.316227766,0.316227766,1.5,1.5,1.5,1.6,1.6,0,0,0.1,0.1,0.527046277,0.527046277,0.527046277,0.516397779,0.516397779,0,0,0.316227766,0.316227766,1.4,1.5,1.5,1.6,1.6,0.1,0,0.1,0.1,0.516397779,0.527046277,0.527046277,0.516397779,0.516397779,0.316227766,0,0.316227766,0.316227766,Chicago
100,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.75,0.75,0.75,0,0.25,0,0,0.577350269,0.577350269,0.5,0.957427108,0.957427108,0,0.5,0.816496581,0.816496581,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,Chicago
0,8.944954128,8.788990826,8.449541284,8.550458716,8.541284404,-0.155963303,-0.339449541,0.091743119,0.100917431,1.311168989,1.401542764,1.536507816,1.493729105,1.500198197,0.389070876,0.49479108,0.320337912,0.331800758,9.201834862,8.935779817,8.660550459,8.80733945,8.798165138,-0.266055046,-0.275229358,0.137614679,0.146788991,1.192412871,1.355887227,1.522790953,1.436798552,1.432298182,0.571583276,0.468874927,0.346086317,0.35553007,8.990825688,8.853211009,8.504587156,8.642201835,8.642201835,-0.137614679,-0.348623853,0.137614679,0.137614679,1.30167565,1.386613835,1.543348051,1.493956565,1.493956565,0.499405015,0.497701137,0.371879359,0.371879359,Charlotte
10,7.192592593,7.2,7.059259259,7.051851852,7.044444444,0.007407407,-0.140740741,-0.014814815,-0.007407407,1.725559811,1.83985723,2.083205635,2.034473486,2.02545984,0.480924115,0.600534127,0.386047425,0.356104468,7.074074074,7.214814815,7.044444444,6.962962963,6.955555556,0.140740741,-0.17037037,-0.088888889,-0.081481481,1.469234899,1.707687557,2.029140935,1.952447402,1.965624988,0.703540757,0.718006576,0.395245374,0.424120721,7.237037037,7.296296296,7.281481481,7.162962963,7.162962963,0.059259259,-0.014814815,-0.118518519,-0.118518519,1.626310757,1.71069539,1.991218977,1.98203652,1.98203652,0.514896932,0.646288891,0.406144079,0.424120721,Charlotte
20,4.990384615,4.942307692,4.913461538,4.807692308,4.836538462,-0.048076923,-0.028846154,-0.076923077,-0.105769231,1.438008279,1.711338107,2.243050008,2.150082062,2.181611487,0.629066309,0.829747075,0.38647794,0.366517837,4.875,4.788461538,4.682692308,4.615384615,4.634615385,-0.086538462,-0.105769231,-0.048076923,-0.067307692,1.391287034,1.580666425,2.086779574,1.952383121,1.970942765,0.669887354,0.81154616,0.509707849,0.488000141,4.875,4.913461538,4.846153846,4.788461538,4.778846154,0.038461538,-0.067307692,-0.067307692,-0.057692308,1.446035759,1.495044091,1.964585634,1.898763404,1.900213227,0.573239422,0.753817766,0.319721453,0.336369049,Charlotte
30,3.533333333,3.566666667,3.777777778,3.7,3.7,0.033333333,0.211111111,-0.077777778,-0.077777778,1.247018917,1.438241748,1.953261621,1.957124697,1.939825082,0.569841295,0.741914384,0.429992887,0.429992887,3.511111111,3.544444444,3.611111111,3.577777778,3.577777778,0.033333333,0.066666667,-0.033333333,-0.033333333,1.256394381,1.391475743,1.821805774,1.860154505,1.860154505,0.643899636,0.761429761,0.460824859,0.460824859,3.444444444,3.466666667,3.422222222,3.388888889,3.4,0.022222222,-0.044444444,-0.022222222,-0.033333333,1.272978557,1.317130009,1.675854823,1.707185373,1.71444622,0.560452822,0.685501721,0.395984842,0.38071488,Charlotte
