int_dis,health_acc_flag,health2_acc_flag,health2_Monday_flag,health_acc_flag_std,health2_acc_flag_std,health2_Monday_flag_std,food_acc_flag,food2_acc_flag,food2_Monday_flag,food_acc_flag_std,food2_acc_flag_std,food2_Monday_flag_std,grocery_acc_flag,grocery2_acc_flag,grocery2_Monday_flag,grocery_acc_flag_std,grocery2_acc_flag_std,grocery2_Monday_flag_std,city


0,3.8506493506493507,3.74025974025974,3.564935064935065,1.0402517765398667,1.0652269377114343,1.113936226776249,4.194805194805195,4.103896103896104,4.0064935064935066,0.9293888783997254,0.9577262777651965,1.0129666083493383,4.0064935064935066,4.038961038961039,3.909090909090909,0.9734834241432884,0.9625885368539215,1.0563448904733872,Atlanta
10,3.4640883977900554,3.430939226519337,3.3591160220994474,1.3683253645436573,1.3791840186853876,1.3817409681741204,3.6740331491712706,3.6353591160220993,3.6408839779005526,1.196680491566161,1.2381296415190552,1.2239677250727008,3.734806629834254,3.696132596685083,3.696132596685083,1.2411256499915357,1.269924085258817,1.2478588168398248,Atlanta
20,3.0105820105820107,3.005291005291005,3.0105820105820107,1.5158363255460248,1.5522713436896083,1.5743604510005516,3.0105820105820107,2.994708994708995,3.0105820105820107,1.3760466731531802,1.4273072195249439,1.4695107667194716,3.074074074074074,3.037037037037037,3.0634920634920637,1.4197747854122347,1.4118434093236927,1.4897488279624198,Atlanta
30,2.3491124260355027,2.3905325443786984,2.5857988165680474,1.41506008383269,1.439710726713228,1.5603073513615444,2.2662721893491122,2.337278106508876,2.526627218934911,1.2559803405898338,1.3087961296936796,1.414487492401217,2.4023668639053253,2.3431952662721893,2.5384615384615383,1.3287997028612082,1.2958144032215824,1.3758114488755875,Atlanta
40,1.3017241379310345,1.3448275862068966,1.4827586206896552,1.151330629702239,1.2165771533343013,1.3415290343205537,1.1982758620689655,1.2241379310344827,1.4224137931034482,1.0062399021255741,1.0557190576264515,1.238167383985145,1.2758620689655173,1.25,1.4310344827586208,1.0598294111835147,1.0204432114655313,1.1513631839733696,Atlanta
50,0.6428571428571429,0.6428571428571429,0.7428571428571429,0.7620664942214077,0.7620664942214077,0.9276073989260991,0.5857142857142857,0.6142857142857143,0.7428571428571429,0.6914143694108066,0.7281673868494946,0.774329336474508,0.5857142857142857,0.5428571428571428,0.6,0.7516717049130383,0.6954451037569712,0.7302967433402215,Atlanta
60,0.23404255319148937,0.23404255319148937,0.2553191489361702,0.42797632794384316,0.42797632794384316,0.4875887926442767,0.23404255319148937,0.2553191489361702,0.2553191489361702,0.42797632794384316,0.4407545460261734,0.4875887926442767,0.3191489361702128,0.2765957446808511,0.2765957446808511,0.47118642939800764,0.45215078571752687,0.45215078571752687,Atlanta
70,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.21821789023599236,0.21821789023599236,0.21821789023599236,0.0,0.0,0.047619047619047616,0.0,0.0,0.21821789023599236,0.0,0.0,0.09523809523809523,0.0,0.0,0.30079260375911915,Atlanta
0,3.545112781954887,3.338345864661654,2.5977443609022557,1.258868384650969,1.3082450756794153,1.4536338936149622,4.011278195488722,3.8684210526315788,3.199248120300752,1.0902071214215396,1.1726356973286514,1.4825269727719805,3.924812030075188,3.7706766917293235,3.206766917293233,1.1301965776609926,1.2084783480554486,1.5167341025770706,Baltimore
10,3.5153061224489797,3.556122448979592,3.4081632653061225,1.2948697224493937,1.3556768638906302,1.504432662084351,3.204081632653061,3.3214285714285716,3.2448979591836733,1.0950628940932503,1.1652005439804383,1.4575091114799579,3.239795918367347,3.4081632653061225,3.4846938775510203,1.1225648101597052,1.1665134084879196,1.3717929155832438,Baltimore
20,1.8,2.0210526315789474,2.568421052631579,1.0778228646951105,1.304484469529247,1.6285526244539663,1.5473684210526315,1.6,1.8842105263157896,0.7546793182937018,0.8042440616120818,1.3197610832682158,1.4842105263157894,1.5473684210526315,1.6210526315789473,0.7418085704595,0.7958458774752114,1.0332652989680393,Baltimore
30,0.68,0.7866666666666666,1.6266666666666667,0.7196095037156179,0.8897818337725892,1.7302814435443368,0.64,0.6533333333333333,1.44,0.5844840644719251,0.6258687655664819,1.6211440738281433,0.5733333333333334,0.6,1.0,0.4979236165597369,0.5452497568062706,0.9586025865388216,Baltimore
40,0.0,0.0,0.07894736842105263,0.0,0.0,0.2732763127330939,0.0,0.0,0.21052631578947367,0.0,0.0,0.41315495011227443,0.0,0.0,0.21052631578947367,0.0,0.0,0.41315495011227443,Baltimore
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baltimore
0,4.073015873015873,4.066666666666666,3.704761904761905,1.0209908933021121,1.027643398954139,1.2738712465097324,4.2,4.171428571428572,3.850793650793651,1.006981995297584,1.01696259559392,1.3065090618216064,4.180952380952381,4.14920634920635,3.806349206349206,1.0105899681435913,1.031335942703031,1.3487282303896533,Boston
10,3.38,3.405,3.57,1.0588701668055225,1.0708447799347813,1.380080836609903,3.15,3.195,3.36,0.8491793259601826,0.9116636733282354,1.2800753746651496,3.195,3.26,3.505,0.8722264009260213,0.9146490663488722,1.2759763234047279,Boston
20,1.9384615384615385,1.9307692307692308,2.0846153846153848,0.6559666061864152,0.6727066875080169,1.0713652478660685,1.823076923076923,1.8076923076923077,1.8,0.5632874796537245,0.5852999475675188,0.9351035261676447,1.8076923076923077,1.8846153846153846,1.9846153846153847,0.5719022229835691,0.6053330864060819,0.9316536551180445,Boston
